,0,1
0,"Console Nintendo Switch Tela 7"" Oled - Branco",2999.9
1,Console Playstation 4 1Tb Sony + God Of War Ragnarok - Bivolt,3699.9
2,Console Playstation 5 Sony Ssd 825Gb - Bivolt,5999.9
3,Console Xbox Serie S 512Gb Microsoft - Bivolt,2999.9
4,Controle Para Xbox Sem Fio Microsoft - Carbon Black,499.9
,,
