,0,1
0,"Costela Suína D'italia Ripa Embalagem A Vácuo 1,1Kg",29.49
1,Costela Suína D'Tália Temperada Embalagem A Vácuo 600g,18.46
2,Paleta Suína D'Tália Temperada Embalagem A Vácuo 900g,17.79
3,Paleta Suína D'Tália S/ Tempero Embalagem A Vácuo 1kg,16.97
4,Lombo Suíno D'Tália Temperado Embalagem A Vácuo 800g,23.29
5,Lombo Suíno D'Italia Sem Tempero Embalagem A Vácuo 800g,21.97
6,Costela Suína ao Molho Barbecue Congelada Seara 1kg,76.97
7,Costela Suína D¿Tália A Vácuo 700g,18.46
8,Pernil Suíno D'Italia Temperado Embalagem Resfriado 1kg,21.75
